,date,prediction,weighted_prediction
0,2022-01-01,-0.3163636363636364,-0.3155575453512596
1,2022-01-02,-0.3048387096774194,-0.30523682581160655
2,2022-01-03,-0.2701754385964912,-0.2679786402106583
3,2022-01-04,-0.2037037037037037,-0.20882466970402508
4,2022-01-05,-0.3403100775193798,-0.3409767012898774
5,2022-01-06,-0.4132113821138213,-0.40918145346932294
6,2022-01-07,-0.30445736434108545,-0.30683684191384997
7,2022-01-08,-0.2767676767676768,-0.27581979574177806
8,2022-01-09,-0.2975,-0.2979348381608725
9,2022-01-10,-0.2327868852459017,-0.23562571710087565
10,2022-01-11,-0.2939024390243902,-0.2983274644165021
11,2022-01-12,-0.3192872117400421,-0.3221726639090845
12,2022-01-13,-0.22768817204301084,-0.22743598697006065
13,2022-01-14,-0.2876957494407158,-0.28931284926881734
14,2022-01-15,-0.33699186991869917,-0.3346245130387748
15,2022-01-16,-0.4857142857142859,-0.4813621529984096
16,2022-01-17,-0.4428571428571429,-0.4407113334962301
17,2022-01-18,-0.27003367003367,-0.2705581272290613
18,2022-01-19,-0.012871287128712888,-0.022402665589508836
19,2022-01-20,-0.14281345565749232,-0.14939725355270808
20,2022-01-21,-0.2329787234042553,-0.23454622149678828
21,2022-01-22,-0.09722222222222221,-0.09671588341395061
22,2022-01-23,-0.345,-0.3416733743912644
23,2022-01-24,-0.26122448979591834,-0.26122280759673555
24,2022-01-25,-0.1308641975308642,-0.13762629195495893
25,2022-01-26,-0.09545454545454544,-0.10187349600322318
26,2022-01-27,0.07746478873239435,0.06788000285345623
27,2022-01-28,-0.10196078431372546,-0.10241292523694975
28,2022-01-29,-0.1625,-0.16715745280186334
29,2022-01-30,-0.19186991869918693,-0.19932810513953847
30,2022-01-31,-0.1372294372294372,-0.13776000331748617
31,2022-02-01,-0.12169811320754714,-0.12360356854005428
32,2022-02-02,-0.1753623188405797,-0.17564358335474267
33,2022-02-03,-0.037719298245614014,-0.04204866827318545
34,2022-02-04,0.1552631578947368,0.14535439758185756
35,2022-02-05,-0.01500000000000001,-0.02254972135027249
36,2022-02-06,-0.12499999999999997,-0.12646552111815523
37,2022-02-07,0.0005376344086021182,-0.017504222210376483
38,2022-02-08,-0.07294117647058823,-0.08164988864870631
39,2022-02-09,-0.007142857142857133,-0.017849183390064832
40,2022-02-10,0.03333333333333337,0.031134880196165157
41,2022-02-11,-0.05897435897435896,-0.06664732266695071
42,2022-02-12,0.021014492753623198,0.010073517565278037
43,2022-02-13,-0.17272727272727273,-0.1777968631549315
44,2022-02-14,0.045454545454545456,0.03212883136489175
45,2022-02-15,0.018279569892473115,0.01149395072972903
46,2022-02-16,0.028138528138528143,0.022061110110509957
47,2022-02-17,-0.06751054852320679,-0.07587904652211233
48,2022-02-18,-0.1662037037037037,-0.16656550883694932
49,2022-02-19,0.03793103448275864,0.029751700608209593
50,2022-02-20,-0.14583333333333337,-0.14494831934571265
51,2022-02-21,-0.15624999999999997,-0.15355531700576344
52,2022-02-22,-0.042937853107344624,-0.04988864281419979
53,2022-02-23,0.019791666666666652,0.0060478054607908
54,2022-02-24,0.021857923497267756,0.019818348685900385
55,2022-02-25,0.12176870748299318,0.10838118347586417
56,2022-02-26,0.27941176470588236,0.26493389092239683
57,2022-02-27,0.2064102564102564,0.18981287456475768
58,2022-02-28,0.08461538461538462,0.06985292629553722
59,2022-03-01,0.14791666666666667,0.1348009830495963
60,2022-03-02,0.04820512820512823,0.03884478481916284
61,2022-03-03,0.03787878787878789,0.03145641908802167
62,2022-03-04,0.25034013605442174,0.2342313511031016
63,2022-03-05,0.2538461538461538,0.2389185272348233
64,2022-03-06,-0.15999999999999998,-0.161335305472215
65,2022-03-07,-0.07777777777777778,-0.08636542373785266
66,2022-03-08,0.04632768361581919,0.03642900082687872
67,2022-03-09,-0.18870056497175144,-0.19039550728380342
68,2022-03-10,-0.1248366013071895,-0.13288173769034595
69,2022-03-11,-0.16432748538011693,-0.16829369237199865
70,2022-03-12,-0.1952380952380952,-0.1961008058843158
71,2022-03-13,-0.3893939393939394,-0.38076633269136606
72,2022-03-14,-0.22452830188679251,-0.22442652326334953
73,2022-03-15,-0.20109289617486334,-0.2076413056238102
74,2022-03-16,-0.22429378531073446,-0.22821521839853057
75,2022-03-17,-0.05628415300546447,-0.06229374478749241
76,2022-03-18,-0.17671957671957672,-0.17662969617931934
77,2022-03-19,-0.35357142857142854,-0.34847508775336394
78,2022-03-20,-0.3607843137254901,-0.3630861515800159
79,2022-03-21,-0.12907801418439713,-0.13096095693449603
80,2022-03-22,-0.25765765765765763,-0.2546687873365643
81,2022-03-23,-0.09453551912568302,-0.09681912588942898
82,2022-03-24,0.18768115942028982,0.17479910666959875
83,2022-03-25,-0.17500000000000002,-0.17444392678638299
84,2022-03-26,-0.19841269841269843,-0.1965263948554084
85,2022-03-27,-0.08333333333333331,-0.09607429206371311
86,2022-03-28,-0.2536585365853658,-0.252102531965186
87,2022-03-29,-0.07431693989071037,-0.07574471964862182
88,2022-03-30,0.005649717514124287,0.0025472599402659316
89,2022-03-31,-0.05362318840579711,-0.0571964082510575
