,date,prediction,weighted_prediction
0,2020-09-01,-0.13098591549295774,-0.13297875632702472
1,2020-09-02,-0.24303797468354424,-0.24438229073703546
2,2020-09-03,-0.15190476190476193,-0.1505969376081512
3,2020-09-04,-0.2848888888888889,-0.27825976852575934
4,2020-09-05,-0.49537037037037035,-0.4812680010442381
5,2020-09-06,-0.49473684210526325,-0.4824442460087308
6,2020-09-07,-0.38222222222222224,-0.3737112052904235
7,2020-09-08,-0.20325203252032517,-0.20333639397853762
8,2020-09-09,-0.27306397306397306,-0.26714226194102353
9,2020-09-10,-0.32108843537414955,-0.31679697061071577
10,2020-09-11,-0.24942528735632188,-0.24792282622436004
11,2020-09-12,-0.294017094017094,-0.2937400696624039
12,2020-09-13,-0.43333333333333335,-0.4296775011360183
13,2020-09-14,-0.2924242424242424,-0.29265752224007036
14,2020-09-15,-0.24748858447488584,-0.24963913716409847
15,2020-09-16,-0.2058252427184465,-0.21058825752110163
16,2020-09-17,-0.3031578947368421,-0.3023117756948136
17,2020-09-18,-0.3591666666666665,-0.35779992040246716
18,2020-09-19,-0.39705882352941174,-0.39840288577126515
19,2020-09-20,-0.30757575757575756,-0.3061740095416705
20,2020-09-21,-0.3727699530516432,-0.36451202191657306
21,2020-09-22,-0.3585271317829459,-0.35767126255488213
22,2020-09-23,-0.15243902439024387,-0.15436573056428413
23,2020-09-24,-0.3617977528089888,-0.35843034988262235
24,2020-09-25,-0.32719298245614026,-0.3228949693211338
25,2020-09-26,-0.2549019607843137,-0.25122860526921703
26,2020-09-27,-0.38444444444444437,-0.3777390506311699
27,2020-09-28,-0.3548717948717948,-0.35511849210812485
28,2020-09-29,-0.3011764705882354,-0.29819205479294636
29,2020-09-30,-0.25444444444444453,-0.25253217049218973
30,2020-10-01,-0.3493150684931506,-0.3481307671358596
31,2020-10-02,-0.41876247504990033,-0.4183738178954629
32,2020-10-03,-0.4754098360655739,-0.47044297822349085
33,2020-10-04,-0.4429553264604812,-0.44089348227092895
34,2020-10-05,-0.4157004830917875,-0.41020381981191995
35,2020-10-06,-0.3329411764705884,-0.3333753778361808
36,2020-10-07,-0.29851380042462844,-0.30079931564897994
37,2020-10-08,-0.35893333333333344,-0.3549001029729845
38,2020-10-09,-0.3090909090909091,-0.3088885259201374
39,2020-10-10,-0.39684684684684696,-0.39276102379904126
40,2020-10-11,-0.2701754385964911,-0.27372615105575987
41,2020-10-12,-0.3272300469483567,-0.32938835029031194
42,2020-10-13,-0.224,-0.2274676433404286
