,date,prediction,weighted_prediction
0,2020-09-01,-0.14724409448818898,-0.14606472849063673
1,2020-09-02,-0.0900537634408602,-0.08763846543527418
2,2020-09-03,-0.07575757575757576,-0.07352904686422058
3,2020-09-04,-0.025136612021857917,-0.023905257405696247
4,2020-09-05,-0.061505376344086024,-0.05987771493132397
5,2020-09-06,-0.5641025641025641,-0.562615616657795
6,2020-09-07,-0.15789473684210525,-0.15762016647740415
7,2020-09-08,-0.2597859327217125,-0.26022490871335385
8,2020-09-09,-0.5196145124716552,-0.5046801327375058
9,2020-09-10,-0.1655855855855856,-0.16371887530829457
10,2020-09-11,-0.21989100817438692,-0.21771724490443756
11,2020-09-12,-0.213189448441247,-0.2103467077517109
12,2020-09-13,-0.4606060606060606,-0.4556976531039585
13,2020-09-14,-0.3073260073260073,-0.304198142907995
14,2020-09-15,-0.24923664122137404,-0.24529767853537288
15,2020-09-16,-0.30102790014684283,-0.2985304436056974
16,2020-09-17,-0.31797900262467194,-0.3132572062372223
17,2020-09-18,-0.25590277777777776,-0.25412986358731154
18,2020-09-19,-0.31333333333333335,-0.3103476021096513
19,2020-09-20,-0.4698924731182796,-0.46619512188819145
20,2020-09-21,-0.4,-0.39552693915539894
21,2020-09-22,-0.39439655172413796,-0.3919514586142767
22,2020-09-23,-0.4370262390670554,-0.43284234512883324
23,2020-09-24,-0.11336553945249597,-0.110515214058896
24,2020-09-25,-0.2283433133732535,-0.2250266515982603
25,2020-09-26,-0.3144620811287478,-0.31034232417427043
26,2020-09-27,-0.44651162790697674,-0.44558255385982903
27,2020-09-28,-0.3514056224899598,-0.34670287177984016
28,2020-09-29,-0.2786885245901639,-0.273984736795851
29,2020-09-30,-0.30454545454545456,-0.30186725818185195
30,2020-10-01,-0.28996913580246914,-0.2861643546939264
31,2020-10-02,-0.23034825870646763,-0.2290987282744292
32,2020-10-03,-0.2845896147403685,-0.2819711845074866
33,2020-10-04,-0.37266666666666665,-0.37009654307365414
34,2020-10-05,-0.3473429951690821,-0.3449459856978937
35,2020-10-06,-0.10715249662618083,-0.10410644667431733
36,2020-10-07,-0.11409618573797678,-0.11181112107253983
37,2020-10-08,-0.33468468468468465,-0.3327984653710552
38,2020-10-09,-0.3282874617737003,-0.3235720423018896
39,2020-10-10,-0.3970149253731343,-0.3934481143358335
40,2020-10-11,-0.5252525252525252,-0.520207526105823
41,2020-10-12,-0.5217391304347826,-0.5196898361479027
42,2020-10-13,-0.435,-0.43161072959005836
43,2020-10-14,-0.3004132231404959,-0.2987386531696832
44,2020-10-15,-0.26166666666666666,-0.25860395639638106
45,2020-10-16,-0.4165829145728643,-0.4130065554200704
46,2020-10-17,-0.35690021231422503,-0.35336761103820397
47,2020-10-18,-0.40166666666666667,-0.39967170904080074
48,2020-10-19,-0.4973597359735974,-0.492560079782316
49,2020-10-20,-0.317948717948718,-0.31547652314870783
50,2020-10-21,-0.24367816091954023,-0.241058710508648
51,2020-10-22,-0.22122807017543858,-0.21922455014366854
52,2020-10-23,-0.38231707317073166,-0.3787169819440299
53,2020-10-24,-0.1886178861788618,-0.18682964523512174
54,2020-10-25,-0.3514285714285714,-0.3486486159335999
55,2020-10-26,-0.25384615384615383,-0.25013799213106475
56,2020-10-27,-0.35343915343915344,-0.34815173962759594
57,2020-10-28,-0.3304263565891473,-0.32791538905034695
58,2020-10-29,-0.18255613126079448,-0.17825155159352357
59,2020-10-30,-0.22476635514018692,-0.22170238183387714
60,2020-10-31,-0.3462287104622871,-0.34342002207345335
61,2020-11-01,-0.6444444444444444,-0.6421690237190989
62,2020-11-02,-0.38199999999999995,-0.37799262349804247
63,2020-11-03,-0.34547206165703276,-0.34264847298578033
64,2020-11-04,-0.16161137440758294,-0.15941532639813086
65,2020-11-05,-0.22123015873015872,-0.21914849957776447
66,2020-11-06,-0.3862962962962963,-0.3833625998541161
67,2020-11-07,-0.23595959595959595,-0.23255790937428522
68,2020-11-08,-0.5229166666666667,-0.5190926148556173
69,2020-11-09,-0.35555555555555557,-0.3533717646201452
70,2020-11-10,-0.10975918884664132,-0.10809832461584355
71,2020-11-11,-0.3921516754850088,-0.3894387249961312
72,2020-11-12,-0.3537588652482269,-0.3500678332773506
73,2020-11-13,-0.2846376811594203,-0.2822102071064106
74,2020-11-14,-0.2873767258382643,-0.2846826876056265
75,2020-11-15,-0.5323529411764706,-0.5301789693388284
76,2020-11-16,-0.37380952380952376,-0.370719735434045
77,2020-11-17,-0.14102564102564102,-0.13914619107478063
78,2020-11-18,-0.21859185918591859,-0.2140269623993516
79,2020-11-19,-0.22752192982456143,-0.22456955011084415
80,2020-11-20,-0.3516739446870451,-0.3485684538555631
81,2020-11-21,-0.3984547461368653,-0.3962568022064026
82,2020-11-22,-0.4865497076023392,-0.4829195454629541
83,2020-11-23,-0.28846960167714886,-0.28547896650352317
84,2020-11-24,-0.23603286384976524,-0.23408341722589143
85,2020-11-25,-0.22312925170068026,-0.22098556376841605
86,2020-11-26,-0.2450793650793651,-0.24269851090100708
87,2020-11-27,-0.3024420024420024,-0.29958382727025634
88,2020-11-28,-0.39800569800569796,-0.3948031571133863
89,2020-11-29,-0.45114942528735635,-0.4508843000079023
90,2020-11-30,-0.3389221556886228,-0.33619165527606437
91,2020-12-01,-0.3425925925925926,-0.3388046148750517
92,2020-12-02,-0.22574139976275207,-0.22358285288016003
93,2020-12-03,-0.2307609860664523,-0.22689221317042363
94,2020-12-04,-0.19653679653679654,-0.194623931116743
95,2020-12-05,-0.22660818713450293,-0.2225235020556645
96,2020-12-06,-0.24032258064516127,-0.2358794679404587
97,2020-12-07,-0.2970760233918128,-0.2932849792011997
98,2020-12-08,-0.22103448275862067,-0.21838922666064622
99,2020-12-09,-0.10096969696969697,-0.09831225074421275
100,2020-12-10,-0.134228855721393,-0.12982200231421648
101,2020-12-11,-0.2922008547008547,-0.2886937803119166
102,2020-12-12,-0.33780487804878045,-0.3355373797499068
103,2020-12-13,-0.1474074074074074,-0.14628474103079903
104,2020-12-14,-0.16551724137931034,-0.16337998269618242
105,2020-12-15,-0.024999999999999998,-0.02520414811904442
106,2020-12-16,-0.07171052631578946,-0.069806561932752
107,2020-12-17,-0.172992700729927,-0.17148287971741963
108,2020-12-18,-0.19522184300341297,-0.19355364506968867
109,2020-12-19,-0.1924731182795699,-0.19046209672445893
110,2020-12-20,-0.2597701149425287,-0.26030500156098396
111,2020-12-21,-0.4906513409961686,-0.4889580224665645
112,2020-12-22,-0.1697061803444782,-0.16834167621901452
113,2020-12-23,-0.22805383022774328,-0.2264937828694071
114,2020-12-24,-0.18846153846153846,-0.1849652183222604
115,2020-12-25,-0.1818181818181818,-0.18170935683178177
116,2020-12-26,-0.24929971988795516,-0.246239922210282
117,2020-12-27,-0.4991452991452991,-0.4948897557126152
118,2020-12-28,-0.3016786570743405,-0.2990511545031477
119,2020-12-29,-0.43395989974937343,-0.43140729689657836
120,2020-12-30,-0.2698695136417556,-0.2677672722621038
121,2020-12-31,-0.1947109471094711,-0.1922803776620499
122,2021-01-01,-0.17129629629629628,-0.17071036704712444
123,2021-01-02,-0.27011494252873564,-0.26899601535256856
124,2021-01-03,-0.36874999999999997,-0.3671742435544729
125,2021-01-04,-0.229247311827957,-0.22777588316830252
126,2021-01-05,-0.3881188118811881,-0.3840946147872014
127,2021-01-06,-0.21599169262720663,-0.21437183291431777
128,2021-01-07,-0.2777126099706745,-0.2749678239415701
129,2021-01-08,-0.4542827657378741,-0.45207588953130384
130,2021-01-09,-0.2954489544895449,-0.2933836262714379
131,2021-01-10,-0.3921212121212121,-0.3904792978908076
132,2021-01-11,-0.25817805383022774,-0.2549831225264887
133,2021-01-12,-0.13151927437641722,-0.12998218410342188
134,2021-01-13,-0.20782190132370637,-0.20547767474834958
135,2021-01-14,-0.17912673056443024,-0.17681314380278093
136,2021-01-15,-0.16328125,-0.16212740647218501
137,2021-01-16,-0.38439999999999996,-0.3808898190538088
138,2021-01-17,-0.4067901234567901,-0.40527932833374286
139,2021-01-18,0.34074074074074073,0.34132930811005413
140,2021-01-19,-0.2848728246318608,-0.281542696140537
141,2021-01-20,-0.2121468926553672,-0.21017699974068138
142,2021-01-21,-0.03729674796747967,-0.03578133444354786
143,2021-01-22,-0.2157828282828283,-0.21606743134031392
144,2021-01-23,-0.13303571428571428,-0.13057656144457205
145,2021-01-24,-0.40277777777777773,-0.3993536176946428
146,2021-01-25,0.19595959595959597,0.19766544133391312
147,2021-01-26,-0.3380359612724758,-0.33566957029564254
148,2021-01-27,-0.24583333333333335,-0.24223168347126398
149,2021-01-28,-0.08140770252324037,-0.08003632932070243
150,2021-01-29,-0.27095046854083,-0.2695586148315325
151,2021-01-30,-0.2856649395509499,-0.2833789951031278
152,2021-01-31,-0.1978723404255319,-0.19378889112185077
153,2021-02-01,-0.3162162162162162,-0.3145054419924905
154,2021-02-02,-0.056066411238825026,-0.05478787690895878
155,2021-02-03,-0.17035755478662054,-0.1672714880627882
156,2021-02-04,-0.15736961451247164,-0.15523270310796036
157,2021-02-05,-0.18333333333333332,-0.18070826640984675
158,2021-02-06,-0.19393939393939394,-0.191193327181267
159,2021-02-07,-0.22148148148148147,-0.21567528757784102
160,2021-02-08,-0.12404761904761905,-0.12141735724040441
161,2021-02-09,-0.09370529327610873,-0.09147591775067375
162,2021-02-10,-0.11186868686868687,-0.1102742403896168
163,2021-02-11,-0.17226463104325698,-0.17086035917885128
164,2021-02-12,-0.15230125523012553,-0.14911607257408743
165,2021-02-13,-0.16818181818181818,-0.16664877198636532
166,2021-02-14,-0.012500000000000002,-0.01137164868414402
167,2021-02-15,-0.015384615384615396,-0.012145485557042625
168,2021-02-16,-0.006047819971870601,-0.006014022176611108
169,2021-02-17,-0.06955922865013774,-0.06770453459221469
170,2021-02-18,-0.035923423423423424,-0.03509748835485797
171,2021-02-19,-0.0791476407914764,-0.07692737573902356
172,2021-02-20,-0.06702127659574468,-0.06542909353020343
173,2021-02-21,-0.04367816091954022,-0.04274343937292867
174,2021-02-22,-0.22838541666666667,-0.22419358900127312
175,2021-02-23,-0.08106355382619973,-0.07896024338930034
176,2021-02-24,0.07758865248226951,0.0793320562822599
177,2021-02-25,0.07699876998769987,0.07861310312888718
178,2021-02-26,-0.08756476683937824,-0.08438356781767646
179,2021-02-27,0.04351395730706075,0.04550096845294063
180,2021-02-28,0.03763440860215053,0.03771819187107906
181,2021-03-01,-0.11096491228070175,-0.11007745303867156
182,2021-03-02,-0.06666666666666667,-0.06468385598120005
183,2021-03-03,-0.08836879432624113,-0.08555982960031389
184,2021-03-04,-0.010446009389671357,-0.008090031426837188
185,2021-03-05,0.04296296296296297,0.0447830789209043
186,2021-03-06,0.17722222222222223,0.1796173753009902
187,2021-03-07,-0.04097222222222221,-0.04011555779725312
188,2021-03-08,-0.020720720720720717,-0.01876321690039592
189,2021-03-09,0.06494992846924177,0.0665862416931147
190,2021-03-10,0.019738562091503264,0.02087156266947977
191,2021-03-11,-0.033333333333333326,-0.031478374023386775
192,2021-03-12,-0.12226415094339622,-0.11924122052372627
193,2021-03-13,-0.09999999999999999,-0.09805917808102436
194,2021-03-14,-0.2517241379310345,-0.2488384843900286
195,2021-03-15,0.0028037383177570096,0.005587391485677692
196,2021-03-16,-0.06312925170068026,-0.061061792037113996
197,2021-03-17,-0.131016731016731,-0.1292377124038289
