,date,prediction,weighted_prediction
0,2020-09-01,-0.19854651162790704,-0.20117134491140545
1,2020-09-02,-0.21227154046997396,-0.2137339766488269
2,2020-09-03,-0.18798554652213184,-0.189249000634389
3,2020-09-04,-0.2504115226337447,-0.2497706026145461
4,2020-09-05,-0.2776932826362485,-0.2763300777879201
5,2020-09-06,-0.33415492957746523,-0.333342178522701
6,2020-09-07,-0.19444444444444434,-0.19731117915521318
7,2020-09-08,-0.26158940397350994,-0.2623400755868053
8,2020-09-09,-0.23563512361466313,-0.2366252000145902
9,2020-09-10,-0.2830742659758206,-0.2828881559182531
10,2020-09-11,-0.3442009132420091,-0.3414001444730583
11,2020-09-12,-0.36086956521739133,-0.35990876414480566
12,2020-09-13,-0.33882915173237754,-0.33713397286485175
13,2020-09-14,-0.29626666666666696,-0.2942764404495558
14,2020-09-15,-0.24505376344086,-0.24644613373343646
15,2020-09-16,-0.17953488372093004,-0.18113078040670058
16,2020-09-17,-0.27524314765694075,-0.27438945942595394
17,2020-09-18,-0.3170588235294118,-0.31511829700540117
18,2020-09-19,-0.40156494522691666,-0.3988564970394445
19,2020-09-20,-0.28956639566395664,-0.28909673359658977
20,2020-09-21,-0.3351092896174863,-0.33180187467913175
21,2020-09-22,-0.33915187376725847,-0.3374081134796143
22,2020-09-23,-0.2591370558375635,-0.2584276420589027
23,2020-09-24,-0.2614552605703049,-0.2609619897111679
24,2020-09-25,-0.2668693009118543,-0.2659275040528694
25,2020-09-26,-0.29957983193277293,-0.2967327872411208
26,2020-09-27,-0.32539007092198574,-0.32258921775412047
27,2020-09-28,-0.310030864197531,-0.30801389169545806
28,2020-09-29,-0.259259259259259,-0.25918556410799587
29,2020-09-30,-0.25328151986183073,-0.2522934271444107
30,2020-10-01,-0.33342749529190197,-0.3305045207369574
31,2020-10-02,-0.36903390914907147,-0.3660530954961658
32,2020-10-03,-0.3807055435565156,-0.37815055671229153
33,2020-10-04,-0.36221662468513843,-0.3605923613963458
34,2020-10-05,-0.33039934800326004,-0.32835148698251837
35,2020-10-06,-0.38551282051282004,-0.3812532366449251
36,2020-10-07,-0.31350059737156466,-0.31227521127626173
37,2020-10-08,-0.3224965706447186,-0.32056534962807837
38,2020-10-09,-0.4124907612712489,-0.40785013917456353
39,2020-10-10,-0.38923395445134584,-0.38405232774730025
40,2020-10-11,-0.29911949685534606,-0.2974137750061804
41,2020-10-12,-0.4007299270072996,-0.39890193306906696
42,2020-10-13,-0.24901515151515144,-0.2507670536388954
43,2020-10-14,-0.3195950831525669,-0.3173758373623383
44,2020-10-15,-0.36738351254480245,-0.3649112742284718
45,2020-10-16,-0.31502976190476184,-0.31354140382304446
46,2020-10-17,-0.32267502612330234,-0.32276780710574116
47,2020-10-18,-0.3358229598893501,-0.33641629485750935
48,2020-10-19,-0.39666666666666683,-0.3938621596623493
49,2020-10-20,-0.37559055118110185,-0.3744945852488458
50,2020-10-21,-0.2911470361816783,-0.29068465628148604
51,2020-10-22,-0.3182343234323432,-0.3173699287175151
52,2020-10-23,-0.32709320695102645,-0.32691352575734883
53,2020-10-24,-0.38555885262116707,-0.3848521375750456
54,2020-10-25,-0.38614457831325283,-0.38490298484642865
55,2020-10-26,-0.42513484358144543,-0.42339103971934483
56,2020-10-27,-0.3884226884226884,-0.3875192718628123
57,2020-10-28,-0.33916849015317263,-0.3389417275927693
58,2020-10-29,-0.3554909560723513,-0.3536615808689318
59,2020-10-30,-0.3935389133627019,-0.392480860031299
60,2020-10-31,-0.41197411003236256,-0.40821393561723307
61,2020-11-01,-0.4926489226869455,-0.4870199845317651
62,2020-11-02,-0.3966369930761622,-0.39254598637598775
63,2020-11-03,-0.4177710843373494,-0.41428916326248966
64,2020-11-04,-0.43540305010893243,-0.43076528054631646
65,2020-11-05,-0.422747747747748,-0.4197174099483737
66,2020-11-06,-0.42834224598930454,-0.42369534176194934
67,2020-11-07,-0.43046192259675414,-0.42694663341423383
68,2020-11-08,-0.4083655083655087,-0.4058346743404175
69,2020-11-09,-0.24166666666666667,-0.24147249475121513
70,2020-11-10,-0.23637540453074443,-0.2364549029741471
71,2020-11-11,-0.37617647058823517,-0.37388065523960984
72,2020-11-12,-0.3812828601472133,-0.3780601002879198
73,2020-11-13,-0.3410430839002269,-0.3398287637028292
74,2020-11-14,-0.46461538461538443,-0.46143395929764486
75,2020-11-15,-0.47442528735632183,-0.46849314140519877
76,2020-11-16,-0.2309909909909911,-0.2291421777815432
77,2020-11-17,-0.22825788751714685,-0.22684758285517884
78,2020-11-18,-0.13055555555555554,-0.1339085274375975
79,2020-11-19,-0.2582930756843801,-0.26098321850941
80,2020-11-20,-0.3942367601246103,-0.39270370031164453
81,2020-11-21,-0.37111111111111117,-0.3706403478133825
82,2020-11-22,-0.2833333333333333,-0.2897316322904645
83,2020-11-23,-0.2273069679849341,-0.22806519177898407
84,2020-11-24,-0.09748062015503875,-0.09959869531466983
85,2020-11-25,-0.2957494407158837,-0.2960389628773032
86,2020-11-26,-0.3355769230769231,-0.3369714223134977
87,2020-11-27,-0.2683333333333335,-0.26896890790689576
88,2020-11-28,-0.4604651162790699,-0.4578554100999538
89,2020-11-29,-0.3590277777777778,-0.35654532261606703
90,2020-11-30,-0.21901709401709396,-0.21604416998278383
91,2020-12-01,-0.174908424908425,-0.17637010786559562
