date,article_id
2020-04-01,738
2020-04-02,2486
2020-04-03,862
2020-04-04,511
2020-04-05,383
2020-04-06,523
2020-04-07,696
2020-04-08,690
2020-04-09,755
2020-04-10,632
2020-04-11,480
2020-04-12,323
2020-04-13,440
2020-04-14,638
2020-04-15,726
2020-04-16,728
2020-04-17,662
2020-04-18,481
2020-04-19,352
2020-04-20,514
2020-04-21,664
2020-04-22,656
2020-04-23,740
2020-04-24,636
2020-04-25,431
2020-04-26,346
2020-04-27,474
2020-04-28,636
2020-04-29,659
2020-04-30,699
2020-05-01,544
2020-05-02,1367
2020-05-03,350
2020-05-04,434
2020-05-05,655
2020-05-06,727
2020-05-07,730
2020-05-08,616
2020-05-09,439
2020-05-10,315
2020-05-11,433
2020-05-12,581
2020-05-13,616
2020-05-14,559
2020-05-15,455
2020-05-16,335
2020-05-17,283
2020-05-18,405
2020-05-19,497
2020-05-20,459
2020-05-21,524
2020-05-22,484
2020-05-23,390
2020-05-24,273
2020-05-25,203
2020-05-26,367
2020-05-27,516
2020-05-28,478
2020-05-29,422
2020-05-30,320
2020-05-31,235
2020-06-01,284
2020-06-02,882
2020-06-03,400
2020-06-04,363
2020-06-05,383
2020-06-06,284
2020-06-07,203
2020-06-08,336
2020-06-09,396
2020-06-10,422
2020-06-11,440
2020-06-12,382
2020-06-13,303
2020-06-14,223
2020-06-15,268
2020-06-16,431
2020-06-17,450
2020-06-18,398
2020-06-19,403
2020-06-20,270
2020-06-21,226
2020-06-22,262
2020-06-23,428
2020-06-24,502
2020-06-25,459
2020-06-26,445
2020-06-27,314
2020-06-28,230
2020-06-29,275
2020-06-30,455
2020-07-01,527
2020-07-02,1198
2020-07-03,407
2020-07-04,202
2020-07-05,226
2020-07-06,270
2020-07-07,423
2020-07-08,421
2020-07-09,406
2020-07-10,423
2020-07-11,341
2020-07-12,245
2020-07-13,251
2020-07-14,372
2020-07-15,444
2020-07-16,430
2020-07-17,438
2020-07-18,280
2020-07-19,222
2020-07-20,249
2020-07-21,384
2020-07-22,419
2020-07-23,392
2020-07-24,350
2020-07-25,238
2020-07-26,160
2020-07-27,258
2020-07-28,388
2020-07-29,438
2020-07-30,378
2020-07-31,357
2020-08-01,276
2020-08-02,596
2020-08-03,260
2020-08-04,369
2020-08-05,445
2020-08-06,393
2020-08-07,364
2020-08-08,229
2020-08-09,226
2020-08-10,295
2020-08-11,369
2020-08-12,400
2020-08-13,426
2020-08-14,385
2020-08-15,259
2020-08-16,196
2020-08-17,263
2020-08-18,340
2020-08-19,367
2020-08-20,354
2020-08-21,302
2020-08-22,234
2020-08-23,174
2020-08-24,265
2020-08-25,323
2020-08-26,318
2020-08-27,342
2020-08-28,312
2020-08-29,234
2020-08-30,220
2020-08-31,268
2020-09-01,340
2020-09-02,988
2020-09-03,350
2020-09-04,321
2020-09-05,223
2020-09-06,200
2020-09-07,163
2020-09-08,309
2020-09-09,381
2020-09-10,375
2020-09-11,336
2020-09-12,247
2020-09-13,187
2020-09-14,261
2020-09-15,327
2020-09-16,360
2020-09-17,344
2020-09-18,338
2020-09-19,238
2020-09-20,168
2020-09-21,213
2020-09-22,319
2020-09-23,348
2020-09-24,326
2020-09-25,361
2020-09-26,265
2020-09-27,158
2020-09-28,226
2020-09-29,352
2020-09-30,372
2020-10-01,398
2020-10-02,1091
2020-10-03,291
2020-10-04,213
2020-10-05,286
2020-10-06,370
2020-10-07,503
2020-10-08,454
2020-10-09,388
2020-10-10,271
2020-10-11,175
2020-10-12,293
2020-10-13,412
2020-10-14,477
2020-10-15,425
2020-10-16,404
2020-10-17,289
2020-10-18,232
2020-10-19,268
2020-10-20,381
2020-10-21,419
2020-10-22,450
2020-10-23,401
2020-10-24,282
2020-10-25,222
2020-10-26,309
2020-10-27,425
2020-10-28,437
2020-10-29,454
2020-10-30,394
2020-10-31,304
2020-11-01,209
2020-11-02,724
2020-11-03,359
2020-11-04,323
2020-11-05,330
2020-11-06,340
2020-11-07,284
2020-11-08,202
2020-11-09,333
2020-11-10,490
2020-11-11,465
2020-11-12,414
2020-11-13,424
2020-11-14,313
2020-11-15,279
2020-11-16,340
2020-11-17,463
2020-11-18,528
2020-11-19,472
2020-11-20,520
2020-11-21,372
2020-11-22,302
2020-11-23,357
2020-11-24,392
2020-11-25,478
2020-11-26,256
2020-11-27,242
2020-11-28,261
2020-11-29,235
2020-11-30,273
2020-12-01,479
2020-12-02,1237
2020-12-03,476
2020-12-04,421
2020-12-05,312
2020-12-06,230
2020-12-07,319
2020-12-08,413
2020-12-09,422
2020-12-10,438
2020-12-11,402
2020-12-12,314
2020-12-13,231
2020-12-14,323
2020-12-15,446
2020-12-16,430
2020-12-17,422
2020-12-18,415
2020-12-19,299
2020-12-20,243
2020-12-21,290
2020-12-22,440
2020-12-23,485
2020-12-24,358
2020-12-25,165
2020-12-26,176
2020-12-27,189
2020-12-28,390
2020-12-29,348
2020-12-30,337
2020-12-31,345
2021-01-01,208
2021-01-02,422
2021-01-03,222
2021-01-04,288
2021-01-05,351
2021-01-06,397
2021-01-07,290
2021-01-08,316
2021-01-09,275
2021-01-10,205
2021-01-11,320
2021-01-12,387
2021-01-13,424
2021-01-14,413
2021-01-15,413
2021-01-16,263
2021-01-17,199
2021-01-18,175
2021-01-19,315
2021-01-20,353
2021-01-21,348
2021-01-22,348
2021-01-23,252
2021-01-24,203
2021-01-25,287
2021-01-26,442
2021-01-27,426
2021-01-28,386
2021-01-29,387
2021-01-30,258
2021-01-31,231
2021-02-01,292
2021-02-02,967
2021-02-03,476
2021-02-04,435
2021-02-05,398
2021-02-06,304
2021-02-07,196
2021-02-08,286
2021-02-09,390
2021-02-10,428
2021-02-11,381
2021-02-12,364
2021-02-13,254
2021-02-14,185
2021-02-15,191
2021-02-16,317
2021-02-17,370
2021-02-18,400
2021-02-19,361
2021-02-20,250
2021-02-21,196
2021-02-22,254
2021-02-23,374
2021-02-24,376
2021-02-25,418
2021-02-26,351
2021-02-27,284
2021-02-28,201
2021-03-01,332
2021-03-02,920
2021-03-03,470
2021-03-04,401
2021-03-05,366
2021-03-06,289
2021-03-07,219
2021-03-08,270
2021-03-09,400
2021-03-10,442
2021-03-11,485
2021-03-12,383
2021-03-13,227
2021-03-14,235
2021-03-15,242
2021-03-16,362
2021-03-17,383
2021-03-18,369
2021-03-19,332
2021-03-20,254
2021-03-21,207
2021-03-22,250
2021-03-23,367
2021-03-24,347
2021-03-25,339
2021-03-26,338
2021-03-27,234
2021-03-28,200
2021-03-29,270
2021-03-30,398
2021-03-31,405
