,date,prediction,articles_per_day
0,2020-04-01,-0.2856342761131336,1447.0
1,2020-04-02,-0.2604123992899085,1488.0
2,2020-04-03,-0.23723373212722498,1393.0
3,2020-04-04,-0.3090909090909091,915.0
4,2020-04-05,-0.24333587204874332,1064.0
5,2020-04-06,-0.25599087105363255,1072.0
6,2020-04-07,-0.2519621976613807,1268.0
7,2020-04-08,-0.22433460076045628,1438.0
8,2020-04-09,-0.21793124337422384,1339.0
9,2020-04-10,-0.2358353510895884,1253.0
10,2020-04-11,-0.23266272189349113,855.0
11,2020-04-12,-0.2313182199832074,964.0
12,2020-04-13,-0.2402409101048405,909.0
13,2020-04-14,-0.2054973821989529,1236.0
14,2020-04-15,-0.1824973319103522,1329.0
15,2020-04-16,-0.20114213197969544,1280.0
16,2020-04-17,-0.22689350564371014,1238.0
17,2020-04-18,-0.24631043256997456,798.0
18,2020-04-19,-0.249500998003992,915.0
19,2020-04-20,-0.24725397892849138,904.0
20,2020-04-21,-0.23325892857142858,1088.0
21,2020-04-22,-0.2177822177822178,1221.0
22,2020-04-23,-0.2289601881404334,1211.0
23,2020-04-24,-0.2435810810810811,1200.0
24,2020-04-25,-0.23218142548596113,750.0
25,2020-04-26,-0.19458850056369786,901.0
26,2020-04-27,-0.20743919885550788,856.0
27,2020-04-28,-0.18192397207137315,1045.0
28,2020-04-29,-0.19617052023121387,1119.0
29,2020-04-30,-0.18065967016491755,1084.0
30,2020-05-01,-0.23809523809523808,1047.0
31,2020-05-02,-0.18155452436194897,697.0
32,2020-05-03,-0.23387285948862305,862.0
33,2020-05-04,-0.21367521367521367,734.0
34,2020-05-05,-0.19395465994962216,965.0
35,2020-05-06,-0.2104433152269143,1154.0
36,2020-05-07,-0.20414031052328924,1060.0
37,2020-05-08,-0.20793751319400464,956.0
38,2020-05-09,-0.24274406332453827,617.0
39,2020-05-10,-0.1652972450459159,835.0
40,2020-05-11,-0.24926842245278,762.0
41,2020-05-12,-0.21216041397153945,940.0
42,2020-05-13,-0.15772553747237292,1006.0
43,2020-05-14,-0.22767764657136938,976.0
44,2020-05-15,-0.18075732317218385,849.0
45,2020-05-16,-0.20015667841754797,515.0
46,2020-05-17,-0.2097735399284863,679.0
47,2020-05-18,-0.19030520646319568,676.0
48,2020-05-19,-0.16780741090394147,858.0
49,2020-05-20,-0.1685288640595903,869.0
50,2020-05-21,-0.11616411270390509,817.0
51,2020-05-22,-0.200817577925396,791.0
52,2020-05-23,-0.1744868035190616,551.0
53,2020-05-24,-0.2034805890227577,604.0
54,2020-05-25,-0.26466088730239673,399.0
55,2020-05-26,-0.15141430948419302,606.0
56,2020-05-27,-0.13909774436090225,753.0
57,2020-05-28,-0.16028840820854132,730.0
58,2020-05-29,-0.16469517743403095,666.0
59,2020-05-30,-0.17588395285584768,447.0
60,2020-05-31,-0.16038007486323064,701.0
61,2020-06-01,-0.26177756192326374,418.0
62,2020-06-02,-0.23022847100175747,461.0
63,2020-06-03,-0.19836248604391515,543.0
64,2020-06-04,-0.1089820359281437,507.0
65,2020-06-05,-0.13945578231292516,478.0
66,2020-06-06,-0.12492382693479585,332.0
67,2020-06-07,-0.1681312243702402,346.0
68,2020-06-08,-0.14974182444061962,352.0
69,2020-06-09,-0.140278917145201,494.0
70,2020-06-10,-0.16100679184978026,506.0
71,2020-06-11,-0.16777996070726917,515.0
72,2020-06-12,-0.1780610274237157,523.0
73,2020-06-13,-0.16757940854326397,368.0
74,2020-06-14,-0.25494276795005205,391.0
75,2020-06-15,-0.24929444967074318,431.0
76,2020-06-16,-0.20982986767485823,535.0
77,2020-06-17,-0.20545339251743816,636.0
78,2020-06-18,-0.20336605890603085,579.0
79,2020-06-19,-0.25200152497140677,529.0
80,2020-06-20,-0.24767042667974498,411.0
81,2020-06-21,-0.2692307692307692,421.0
82,2020-06-22,-0.2829059829059829,474.0
83,2020-06-23,-0.28921061702861084,585.0
84,2020-06-24,-0.2683751056040552,717.0
85,2020-06-25,-0.24312783560181478,755.0
86,2020-06-26,-0.29714285714285715,707.0
87,2020-06-27,-0.34394637620444074,482.0
88,2020-06-28,-0.34485738980121,467.0
89,2020-06-29,-0.37474458520637516,494.0
90,2020-06-30,-0.3108419838523645,705.0
91,2020-07-01,-0.30456982384477915,788.0
92,2020-07-02,-0.30689568072745643,803.0
93,2020-07-03,-0.3685272360457297,601.0
94,2020-07-04,-0.33518005540166207,363.0
95,2020-07-05,-0.3637713437268003,545.0
96,2020-07-06,-0.3754071661237785,497.0
97,2020-07-07,-0.3249385749385749,658.0
98,2020-07-08,-0.3201086956521739,744.0
99,2020-07-09,-0.3277266754270696,774.0
100,2020-07-10,-0.32891466445733225,733.0
101,2020-07-11,-0.3304309969525468,463.0
102,2020-07-12,-0.3073277433467007,556.0
103,2020-07-13,-0.358609794628752,513.0
104,2020-07-14,-0.33019145802650957,689.0
105,2020-07-15,-0.3076555023923445,846.0
106,2020-07-16,-0.2798343256536371,783.0
107,2020-07-17,-0.3428336530556317,737.0
108,2020-07-18,-0.33997509339975096,486.0
109,2020-07-19,-0.3851276359600444,546.0
110,2020-07-20,-0.3166468017481128,509.0
111,2020-07-21,-0.2969355406833392,574.0
112,2020-07-22,-0.32409118915588414,656.0
113,2020-07-23,-0.27836329820210787,651.0
114,2020-07-24,-0.34601267934601265,606.0
115,2020-07-25,-0.3813847900113507,354.0
116,2020-07-26,-0.31433033971105034,518.0
117,2020-07-27,-0.2616970658207772,515.0
118,2020-07-28,-0.2540272614622057,654.0
119,2020-07-29,-0.3068344295110094,709.0
120,2020-07-30,-0.3034201443363665,649.0
121,2020-07-31,-0.26582278481012656,638.0
122,2020-08-01,-0.3206069505628977,413.0
123,2020-08-02,-0.3304174950298211,509.0
124,2020-08-03,-0.30877671668940426,448.0
