,publisher_name,total_published,publisher_prediction,page,total_page,page_prediction
0,New York Times (Online),40255,-12747,None,405438,-103178
1,Washington Post (Online) The,35391,-13691,A.1,64709,-17953
2,USA Today (Online),29133,-7371,A.2,55358,-10838
3,Wall Street Journal (Online),26854,-6008,A.4,40929,-10109
4,New York Times,26304,-10718,A.3,37796,-7782
5,Daily Herald,25326,-3360,A.5,29237,-6391
6,Washington Examiner,21665,-6553,A.6,27832,-6238
7,Chicago Tribune (Online),20499,-4851,1,26517,-5247
8,Washington Post The,19674,-7732,A.7,22149,-5485
9,Los Angeles Times (Online),16317,-6805,B.1,18866,-5116
10,Wall Street Journal,15398,-3706,A.8,17723,-4631
11,Politico,13399,-3505,B.2,14692,-2670
12,Boston Globe (Online),13237,-2839,A.9,12981,-3277
13,Los Angeles Times,12029,-5297,B.3,8988,-1704
14,Telegraph - Herald,11486,-3478,3,6715,-255
15,USA TODAY,11036,-3322,2,6541,-915
16,Boston Globe,10752,-2980,4,5941,-1031
17,Arizona Republic,10563,-1949,1.A,5428,-1446
18,Chicago Tribune,10090,-2642,B.4,5418,-968
19,South Florida Sun - Sentinel,9204,-2616,6,4978,-932
20,Orlando Sentinel,9131,-2393,2.B,4828,-770
21,Pittsburgh Post - Gazette,9042,-2168,D.1,4499,-917
22,Des Moines Register,8409,-1585,C.1,4434,-808
23,Portland Press Herald,8340,-1864,A.11,4331,-1541
24,Baltimore Sun (Online) The,8155,-2169,8,3789,-989
25,Insider,8148,-2234,5,3741,-521
26,Tampa Bay Times (Online),8033,-1687,B.5,3630,-564
27,Hartford Courant (Online),7928,-276,A.10,3617,-1459
28,Axios,7864,-2130,7,3567,-713
29,Newsday,7681,-745,C.3,3356,-790
30,HuffPost,7065,-3845,D.3,3091,-725
31,Orlando Sentinel (Online),7045,-1763,C.2,3017,-443
32,Hartford Courant,6924,-1276,A3,2642,-702
33,Atlanta Journal - Constitution The,6918,-1096,A1,2381,-351
34,Tennessean The,6818,-672,B.6,2362,-474
35,Daily Times,6815,-1089,9,2340,-600
36,Cincinnati Enquirer,6774,-950,D.4,2308,-490
37,Bangor Daily News,6698,-294,A.12,2277,-871
38,Tampa Bay Times,6538,-2162,A.13,2046,-716
39,Philadelphia Inquirer,6481,-1933,A.15,2041,-719
40,Morning Call (Online) The,6362,342,C.4,1946,-382
41,Honolulu Star - Advertiser,6246,-1512,A-1,1888,-368
42,Journal News The,5891,-897,10,1888,-472
43,Detroit Free Press,5887,-781,A.14,1879,-677
44,Morning Sentinel,5845,-1337,D.5,1873,-475
45,St. Louis Post - Dispatch,5632,-1954,D.2,1742,-246
46,Lansing State Journal,5610,-628,A.16,1628,-542
47,Star Tribune,5532,-1082,A.17,1525,-495
48,Palm Beach Post,5523,-1675,12,1472,-284
49,Austin American Statesman,5521,-1065,D.6,1451,-403
