date,prediction,articles_per_day
2021-04-01,0.0029218407596785976,468.0
2021-04-02,-0.012417218543046357,414.0
2021-04-03,-0.08,273.0
2021-04-04,-0.029213483146067417,303.0
2021-04-05,0.0212998361551065,313.0
2021-04-06,0.02830188679245283,402.0
2021-04-07,0.005921831819976312,436.0
2021-04-08,-0.06582278481012659,408.0
2021-04-09,-0.06866757617098682,378.0
2021-04-10,-0.1453534551231136,215.0
2021-04-11,-0.09025270758122744,282.0
2021-04-12,-0.011982570806100218,315.0
2021-04-13,-0.10142691862707288,446.0
2021-04-14,-0.12802275960170698,481.0
2021-04-15,-0.03850734418420008,431.0
2021-04-16,-0.07387208725830441,344.0
2021-04-17,-0.0815450643776824,238.0
2021-04-18,-0.04126984126984127,269.0
2021-04-19,-0.04649639816633923,261.0
2021-04-20,-0.03053858967240422,307.0
2021-04-21,-0.07102708226877874,335.0
2021-04-22,0.036072144288577156,345.0
2021-04-23,-0.028993147074327884,330.0
2021-04-24,0.006324666198172874,243.0
2021-04-25,-0.12923289564616447,247.0
2021-04-26,-0.06413301662707839,286.0
2021-04-27,0.04427333974975938,358.0
2021-04-28,0.09183202584217813,373.0
2021-04-29,-0.0030211480362537764,342.0
2021-04-30,0.0014499758337361043,361.0
2021-05-01,-0.10315186246418338,239.0
2021-05-02,-0.1547375596455351,249.0
2021-05-03,-0.054282267792521106,284.0
2021-05-04,0.09277389277389278,365.0
2021-05-05,0.03195995379283789,445.0
2021-05-06,0.012741471434443074,419.0
2021-05-07,0.02297233942803563,366.0
2021-05-08,-0.04176516942474389,217.0
2021-05-09,0.013119533527696793,233.0
2021-05-10,0.02038295243977764,278.0
2021-05-11,0.14137752459865355,332.0
2021-05-12,0.14485981308411214,363.0
2021-05-13,0.2079207920792079,384.0
2021-05-14,0.1564339781328848,408.0
2021-05-15,0.18319107025607353,261.0
2021-05-16,0.017881705639614855,247.0
2021-05-17,0.014627659574468085,259.0
2021-05-18,0.05398712233779099,348.0
2021-05-19,0.12322042218949436,348.0
2021-05-20,0.13236814891416754,330.0
2021-05-21,0.004956629491945477,278.0
2021-05-22,0.05551330798479087,225.0
2021-05-23,0.0273972602739726,249.0
2021-05-24,-0.021183345507669833,236.0
2021-05-25,0.05351170568561873,308.0
2021-05-26,0.0737913486005089,338.0
2021-05-27,0.04866743916570104,300.0
2021-05-28,0.15748031496062992,262.0
2021-05-29,0.18989710009354538,185.0
2021-05-30,0.013452914798206279,195.0
2021-05-31,-0.013293943870014771,115.0
2021-06-01,0.184375,221.0
2021-06-02,0.15854410857495374,278.0
2021-06-03,0.1615343057806591,316.0
2021-06-04,0.1330977620730271,292.0
2021-06-05,0.035071090047393366,181.0
2021-06-06,0.06787330316742081,187.0
2021-06-07,-0.01284796573875803,161.0
2021-06-08,0.10396409872849663,229.0
2021-06-09,0.041666666666666664,280.0
2021-06-10,0.08142493638676845,274.0
2021-06-11,0.10050251256281408,273.0
