,date,prediction,articles_per_day
0,2020-09-01,0.012896825396825396,882.0
1,2020-09-02,-0.02451762657768751,1007.0
2,2020-09-03,-0.07770739996910242,951.0
3,2020-09-04,-0.06837745655351632,898.0
4,2020-09-05,-0.16240822320117473,501.0
5,2020-09-06,-0.23293413173652694,494.0
6,2020-09-07,-0.08489208633093526,407.0
7,2020-09-08,-0.09048633985661693,755.0
8,2020-09-09,-0.05419734904270987,992.0
9,2020-09-10,-0.057423385897054445,987.0
10,2020-09-11,-0.1440501043841336,909.0
11,2020-09-12,-0.20374707259953162,559.0
12,2020-09-13,-0.2731105088828666,492.0
13,2020-09-14,-0.06057244286665187,657.0
14,2020-09-15,-0.08548387096774193,905.0
15,2020-09-16,-0.09016044299304274,1035.0
16,2020-09-17,-0.10565924142083083,973.0
17,2020-09-18,-0.13260282674289345,921.0
18,2020-09-19,-0.16443959640032724,535.0
19,2020-09-20,-0.22733245729303547,445.0
20,2020-09-21,-0.07380607814761216,605.0
21,2020-09-22,-0.10751633986928105,897.0
22,2020-09-23,-0.07614832900961392,959.0
23,2020-09-24,-0.029612756264236904,899.0
24,2020-09-25,-0.0603448275862069,914.0
25,2020-09-26,-0.12036786583716527,538.0
26,2020-09-27,-0.17780938833570412,415.0
27,2020-09-28,-0.05852023717452952,564.0
28,2020-09-29,-0.07216844965189335,857.0
29,2020-09-30,-0.0853378274858281,951.0
30,2020-10-01,-0.023715990106212715,997.0
31,2020-10-02,-0.17064606741573032,1248.0
32,2020-10-03,-0.23684683066977913,820.0
33,2020-10-04,-0.29441624365482233,643.0
34,2020-10-05,-0.20144238649401738,900.0
35,2020-10-06,-0.18010378433109733,1156.0
36,2020-10-07,-0.14282548476454293,1319.0
37,2020-10-08,-0.18543855362814562,1198.0
38,2020-10-09,-0.20547558566186847,1039.0
39,2020-10-10,-0.1967174677608441,622.0
40,2020-10-11,-0.2496015301243226,463.0
41,2020-10-12,-0.18796641791044777,629.0
42,2020-10-13,-0.1338905997946913,995.0
43,2020-10-14,-0.10234922379447726,1064.0
44,2020-10-15,-0.13869022577478615,1042.0
45,2020-10-16,-0.16493622070602196,986.0
46,2020-10-17,-0.2104089219330855,589.0
47,2020-10-18,-0.23139974779319042,464.0
48,2020-10-19,-0.16503972758229285,647.0
49,2020-10-20,-0.10819975339087547,943.0
50,2020-10-21,-0.11835679402470554,1013.0
51,2020-10-22,-0.07916166065945801,1094.0
52,2020-10-23,-0.16640877760585174,1040.0
53,2020-10-24,-0.17510076130765787,655.0
54,2020-10-25,-0.31083064279424716,505.0
55,2020-10-26,-0.2271350696547547,728.0
56,2020-10-27,-0.14419928825622777,1029.0
57,2020-10-28,-0.17666347861729745,1065.0
58,2020-10-29,-0.14742769388277452,1145.0
59,2020-10-30,-0.14373446410293902,1002.0
60,2020-10-31,-0.2314410480349345,670.0
61,2020-11-01,-0.38440677966101694,438.0
62,2020-11-02,-0.23607009253790115,741.0
63,2020-11-03,-0.19976171564733916,734.0
64,2020-11-04,-0.21370967741935484,650.0
65,2020-11-05,-0.1826086956521739,757.0
66,2020-11-06,-0.21157822191592005,848.0
67,2020-11-07,-0.28122481869460114,544.0
68,2020-11-08,-0.34033186589908565,438.0
69,2020-11-09,-0.1823226317875545,739.0
70,2020-11-10,-0.12253066494512589,1128.0
71,2020-11-11,-0.19241652518392757,1032.0
72,2020-11-12,-0.21312322397313355,1127.0
73,2020-11-13,-0.2645923781958514,1211.0
74,2020-11-14,-0.27090806116669813,771.0
75,2020-11-15,-0.336446519902157,666.0
76,2020-11-16,-0.2014202711426727,907.0
77,2020-11-17,-0.22814902424600828,1233.0
78,2020-11-18,-0.15630769230769231,1424.0
