,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred
0,World,2020-03-02,90393.0,1983.0,1547.857,3086.0,89.0,65.143,11.479,0.252,0.197,0.392,0.011,0.008,1.28,,,,,,,,,,,,,
1,World,2020-03-03,93004.0,2611.0,1798.857,3160.0,74.0,64.286,11.81,0.332,0.228,0.401,0.009,0.008,1.35,,,,,,,,,,,,,
2,World,2020-03-04,95329.0,2325.0,1992.0,3255.0,95.0,69.143,12.105,0.295,0.253,0.413,0.012,0.009,1.42,,,,,,,,,,,,,
3,World,2020-03-05,98046.0,2717.0,2188.0,3348.0,93.0,76.286,12.45,0.345,0.278,0.425,0.012,0.01,1.49,,,,,,,,,,,,,
4,World,2020-03-06,101976.0,3930.0,2546.0,3461.0,113.0,84.0,12.949,0.499,0.323,0.439,0.014,0.011,1.58,,,,,,,,,,,,,
5,World,2020-03-07,106122.0,4146.0,2870.286,3566.0,105.0,89.0,13.476,0.526,0.364,0.453,0.013,0.011,1.65,,,,,,,,,,,,,
6,World,2020-03-08,109972.0,3850.0,3080.286,3807.0,241.0,115.714,13.965,0.489,0.391,0.483,0.031,0.015,1.7,,,,,,,,,,,,,
7,World,2020-03-09,114299.0,4327.0,3415.143,3997.0,190.0,130.143,14.514,0.549,0.434,0.508,0.024,0.017,1.77,,,,,,,,,,,,,
8,World,2020-03-10,119108.0,4809.0,3729.143,4273.0,276.0,159.0,15.125,0.611,0.474,0.543,0.035,0.02,1.84,,,,,,,,,,,,,
9,World,2020-03-11,126628.0,7548.0,4475.286,4618.0,345.0,194.714,16.08,0.958,0.568,0.586,0.044,0.025,1.94,,,,,,,,,,,,,
10,World,2020-03-12,133383.0,6755.0,5052.143,4930.0,312.0,226.0,16.938,0.858,0.642,0.626,0.04,0.029,1.99,,,,,,,,,,,,,
11,World,2020-03-13,146673.0,13290.0,6389.286,5420.0,490.0,279.857,18.625,1.688,0.811,0.688,0.062,0.036,2.07,,,,,,,,,,,,,
12,World,2020-03-14,157617.0,10944.0,7360.429,5843.0,423.0,325.286,20.015,1.39,0.935,0.742,0.054,0.041,2.06,,,,,,,,,,,,,
