,date,Sentiment Score,Smoothed Sentiment Score,articles_per_day,smoothed_articles_per_day,Covid Positive Rate,new_deaths_smoothed,weekly_hosp_admissions,new_vaccinations_smoothed,stringency_index
0,2020-04-01,-0.2856,,1447.0,,0.199,804.286,,,72.69
1,2020-04-02,-0.2604,,1488.0,,0.204,966.0,,,72.69
2,2020-04-03,-0.2372,-0.2701,1393.0,1263.3641,0.207,1095.429,,,72.69
3,2020-04-04,-0.3091,-0.2638,915.0,1177.0858,0.209,1225.0,,,72.69
4,2020-04-05,-0.2433,-0.2633,1064.0,1129.2987,0.21,1377.571,,,72.69
5,2020-04-06,-0.256,-0.2632,1072.0,1148.8227,0.211,1528.429,,,72.69
6,2020-04-07,-0.252,-0.2452,1268.0,1238.8254,0.208,1746.571,,,72.69
7,2020-04-08,-0.2243,-0.2376,1438.0,1283.1795,0.206,1820.143,,,72.69
8,2020-04-09,-0.2179,-0.2311,1339.0,1242.834,0.205,1921.143,,,72.69
9,2020-04-10,-0.2358,-0.2276,1253.0,1168.7839,0.205,2033.429,,,72.69
10,2020-04-11,-0.2327,-0.23,855.0,1057.6081,0.2,2102.571,,,72.69
11,2020-04-12,-0.2313,-0.2346,964.0,1029.4464,0.2,2139.714,,,72.69
12,2020-04-13,-0.2402,-0.2285,909.0,1054.6419,0.199,2173.714,,,72.69
13,2020-04-14,-0.2055,-0.2159,1236.0,1146.1074,0.198,2155.857,,,72.69
14,2020-04-15,-0.1825,-0.2057,1329.0,1208.044,0.197,2223.286,,,72.69
15,2020-04-16,-0.2011,-0.2025,1280.0,1187.7387,0.194,2213.429,,,72.69
16,2020-04-17,-0.2269,-0.2142,1238.0,1112.869,0.188,2197.714,,,72.69
17,2020-04-18,-0.2463,-0.2317,798.0,1020.0444,0.188,2174.714,,,72.69
18,2020-04-19,-0.2495,-0.2432,915.0,976.442,0.183,2186.714,,,72.69
19,2020-04-20,-0.2473,-0.2446,904.0,982.6527,0.178,2227.429,,,72.69
20,2020-04-21,-0.2333,-0.2374,1088.0,1068.3532,0.173,2223.143,,,72.69
21,2020-04-22,-0.2178,-0.231,1221.0,1130.6626,0.166,2200.429,,,72.69
22,2020-04-23,-0.229,-0.23,1211.0,1106.7188,0.162,2234.857,,,72.69
23,2020-04-24,-0.2436,-0.2313,1200.0,1058.0402,0.158,2229.143,,,72.69
24,2020-04-25,-0.2322,-0.2265,750.0,977.5651,0.155,2200.0,,,72.69
25,2020-04-26,-0.1946,-0.2187,901.0,938.6817,0.154,2121.143,,,72.69
26,2020-04-27,-0.2074,-0.2037,856.0,933.2401,0.151,2006.857,,,72.69
27,2020-04-28,-0.1819,-0.195,1045.0,1002.0786,0.146,1975.571,,,72.69
28,2020-04-29,-0.1962,-0.1912,1119.0,1036.355,0.143,1962.571,,,72.69
29,2020-04-30,-0.1807,-0.1979,1084.0,1007.6644,0.139,1928.857,,,72.69
30,2020-05-01,-0.2381,-0.2004,1047.0,960.9696,0.136,1902.571,,,72.69
31,2020-05-02,-0.1816,-0.2087,697.0,880.9772,0.132,1903.143,,,72.69
32,2020-05-03,-0.2339,-0.2157,862.0,851.6395,0.128,1872.857,,,72.69
33,2020-05-04,-0.2137,-0.208,734.0,877.8293,0.124,1856.286,,,72.69
34,2020-05-05,-0.194,-0.2118,965.0,954.7324,0.121,1848.714,,,72.69
35,2020-05-06,-0.2104,-0.2051,1154.0,984.2926,0.116,1841.143,,,72.69
36,2020-05-07,-0.2041,-0.2045,1060.0,962.0214,0.112,1800.286,,,72.69
37,2020-05-08,-0.2079,-0.215,956.0,920.2489,0.106,1784.429,,,72.69
38,2020-05-09,-0.2427,-0.2076,617.0,839.0444,0.103,1745.571,,,72.69
39,2020-05-10,-0.1653,-0.2148,835.0,814.012,0.1,1716.714,,,72.69
40,2020-05-11,-0.2493,-0.2161,762.0,832.4832,0.097,1667.571,,,72.69
41,2020-05-12,-0.2122,-0.2004,940.0,904.1255,0.092,1583.714,,,72.69
42,2020-05-13,-0.1577,-0.2084,1006.0,914.3304,0.088,1494.286,,,72.69
43,2020-05-14,-0.2277,-0.1943,976.0,867.0123,0.085,1474.714,,,72.69
44,2020-05-15,-0.1808,-0.1932,849.0,803.1052,0.083,1454.571,,,72.69
45,2020-05-16,-0.2002,-0.2028,515.0,730.6825,0.082,1411.429,,,72.69
46,2020-05-17,-0.2098,-0.1965,679.0,706.0357,0.082,1384.857,,,72.69
47,2020-05-18,-0.1903,-0.193,676.0,720.6491,0.081,1412.857,,,72.69
48,2020-05-19,-0.1678,-0.1835,858.0,782.796,0.08,1389.429,,,72.69
49,2020-05-20,-0.1685,-0.1616,869.0,807.444,0.079,1357.286,,,72.69
50,2020-05-21,-0.1162,-0.1607,817.0,782.3778,0.077,1273.429,,,72.69
51,2020-05-22,-0.2008,-0.1642,791.0,726.5241,0.076,1212.857,,,72.69
52,2020-05-23,-0.1745,-0.1755,551.0,632.9982,0.074,1199.857,,,72.69
53,2020-05-24,-0.2035,-0.2081,604.0,583.3657,0.072,1174.714,,,72.69
54,2020-05-25,-0.2647,-0.2029,399.0,575.906,0.071,1085.857,,,72.69
55,2020-05-26,-0.1514,-0.1919,606.0,615.1095,0.07,975.143,,,72.69
56,2020-05-27,-0.1391,-0.1747,753.0,638.6236,0.068,972.571,,,72.69
57,2020-05-28,-0.1603,-0.1534,730.0,648.8399,0.068,956.0,,,72.69
58,2020-05-29,-0.1647,-0.1603,666.0,655.1098,0.067,942.429,,,72.69
59,2020-05-30,-0.1759,-0.1659,447.0,591.8407,0.066,923.857,,,72.69
60,2020-05-31,-0.1604,-0.1879,701.0,538.9436,0.065,921.571,,,72.69
61,2020-06-01,-0.2618,-0.2076,418.0,514.0736,0.064,945.429,,,72.69
62,2020-06-02,-0.2302,-0.2168,461.0,520.1765,0.063,990.857,,,72.69
63,2020-06-03,-0.1984,-0.2016,543.0,484.2998,0.062,926.286,,,72.69
64,2020-06-04,-0.109,-0.1673,507.0,469.0907,0.061,916.571,,,72.69
65,2020-06-05,-0.1395,-0.1406,478.0,441.4293,0.06,882.429,,,72.69
66,2020-06-06,-0.1249,-0.135,332.0,400.4332,0.059,838.143,,,72.69
67,2020-06-07,-0.1681,-0.1457,346.0,394.2127,0.058,814.857,,,72.69
68,2020-06-08,-0.1497,-0.1474,352.0,404.5103,0.059,777.0,,,72.69
69,2020-06-09,-0.1403,-0.1536,494.0,444.0003,0.058,768.143,,,72.69
70,2020-06-10,-0.161,-0.1542,506.0,480.9546,0.058,747.857,,,72.69
71,2020-06-11,-0.1678,-0.1621,515.0,484.8513,0.057,721.143,,,72.69
72,2020-06-12,-0.1781,-0.1691,523.0,462.1326,0.058,714.429,,,72.69
73,2020-06-13,-0.1676,-0.1897,368.0,442.8956,0.058,724.143,,,72.69
74,2020-06-14,-0.2549,-0.2123,391.0,443.763,0.059,708.143,,,72.69
75,2020-06-15,-0.2493,-0.2244,431.0,469.7783,0.061,693.286,,,68.98
76,2020-06-16,-0.2098,-0.2298,535.0,516.5481,0.063,674.286,,,68.98
77,2020-06-17,-0.2055,-0.2158,636.0,547.1381,0.066,657.571,,,68.98
78,2020-06-18,-0.2034,-0.216,579.0,542.6946,0.069,641.286,,,68.98
79,2020-06-19,-0.252,-0.2272,529.0,514.5063,0.072,613.857,,,68.98
80,2020-06-20,-0.2477,-0.2439,411.0,479.1118,0.074,593.429,,,68.98
81,2020-06-21,-0.2692,-0.2624,421.0,478.5237,0.075,589.286,,,68.98
82,2020-06-22,-0.2829,-0.2727,474.0,518.2869,0.077,586.571,,,68.98
83,2020-06-23,-0.2892,-0.2785,585.0,590.4902,0.078,580.143,,,68.98
84,2020-06-24,-0.2684,-0.2719,717.0,652.1255,0.079,582.0,,,68.98
85,2020-06-25,-0.2431,-0.2721,755.0,657.951,0.08,561.143,,,68.98
86,2020-06-26,-0.2971,-0.2859,707.0,628.7508,0.083,560.857,,,68.98
87,2020-06-27,-0.3439,-0.3089,482.0,576.9976,0.085,551.714,,,68.98
88,2020-06-28,-0.3449,-0.3407,467.0,561.0231,0.086,552.286,,,68.98
89,2020-06-29,-0.3747,-0.3456,494.0,582.9894,0.088,551.143,,,68.98
90,2020-06-30,-0.3108,-0.3349,705.0,653.1047,0.091,525.143,,,68.98
91,2020-07-01,-0.3046,-0.3222,788.0,687.9687,0.094,517.571,,,68.98
92,2020-07-02,-0.3069,-0.3206,803.0,661.4433,0.097,544.857,,,68.98
93,2020-07-03,-0.3685,-0.3299,601.0,616.7658,0.098,552.143,,,68.98
94,2020-07-04,-0.3352,-0.3446,363.0,553.708,0.1,524.714,,,68.98
95,2020-07-05,-0.3638,-0.3593,545.0,526.6962,0.102,524.714,,,68.98
96,2020-07-06,-0.3754,-0.3523,497.0,561.1361,0.104,526.714,,,68.98
97,2020-07-07,-0.3249,-0.3466,658.0,642.7454,0.105,611.714,,,68.98
98,2020-07-08,-0.3201,-0.3352,744.0,686.2343,0.105,631.857,,,68.98
99,2020-07-09,-0.3277,-0.3252,774.0,682.9601,0.105,673.857,,,68.98
100,2020-07-10,-0.3289,-0.327,733.0,655.2087,0.105,691.571,,,68.98
101,2020-07-11,-0.3304,-0.3244,463.0,603.751,0.105,755.143,,,68.98
102,2020-07-12,-0.3073,-0.3298,556.0,582.612,0.104,776.857,,,68.98
103,2020-07-13,-0.3586,-0.3318,513.0,609.5359,0.104,785.571,,,68.98
104,2020-07-14,-0.3302,-0.3282,689.0,678.0501,0.104,749.857,,,68.98
105,2020-07-15,-0.3077,-0.3191,846.0,720.9193,0.103,767.143,,,68.98
106,2020-07-16,-0.2798,-0.3125,783.0,716.9014,0.102,758.143,,,68.98
107,2020-07-17,-0.3428,-0.3168,737.0,679.2303,0.101,774.857,,,68.98
108,2020-07-18,-0.34,-0.3375,486.0,608.4975,0.1,794.429,,,68.98
109,2020-07-19,-0.3851,-0.3482,546.0,564.6059,0.098,795.571,,,68.98
110,2020-07-20,-0.3166,-0.3367,509.0,552.5705,0.098,807.857,,,67.13
111,2020-07-21,-0.2969,-0.3277,574.0,586.3108,0.097,836.714,30552.0,,67.13
112,2020-07-22,-0.3241,-0.3048,656.0,602.5785,0.096,873.714,31352.0,,67.13
113,2020-07-23,-0.2784,-0.3101,651.0,575.9311,0.095,888.286,31679.0,,67.13
114,2020-07-24,-0.346,-0.3299,606.0,555.6502,0.093,912.857,31870.0,,67.13
115,2020-07-25,-0.3814,-0.3342,354.0,523.1944,0.093,924.143,32805.0,,67.13
116,2020-07-26,-0.3143,-0.3286,518.0,522.7603,0.093,932.143,33652.0,,67.13
117,2020-07-27,-0.2617,-0.301,515.0,550.7749,0.091,1014.571,34623.0,,67.13
118,2020-07-28,-0.254,-0.2809,654.0,611.1895,0.09,1031.143,35636.0,,67.13
119,2020-07-29,-0.3068,-0.2814,709.0,637.5661,0.088,1061.429,36272.0,,67.13
120,2020-07-30,-0.3034,-0.2853,649.0,618.1506,0.088,1092.857,36796.0,,67.13
121,2020-07-31,-0.2658,-0.2974,638.0,582.6124,0.086,1104.143,38016.0,,67.13
122,2020-08-01,-0.3206,-0.3036,413.0,528.8707,0.084,1125.143,38568.0,,67.13
123,2020-08-02,-0.3304,-0.3088,509.0,513.1925,0.083,1114.143,38555.0,,67.13
124,2020-08-03,-0.3088,-0.3113,448.0,514.0483,0.082,1036.143,38036.0,,67.13
125,2020-08-04,-0.2805,-0.3005,589.0,552.8503,0.081,1042.286,37001.0,,67.13
126,2020-08-05,-0.2854,-0.2867,615.0,571.8618,0.079,1039.857,36588.0,,67.13
127,2020-08-06,-0.2741,-0.2649,602.0,565.5496,0.076,1024.286,36112.0,,67.13
128,2020-08-07,-0.2112,-0.2426,586.0,542.8227,0.075,1041.286,34744.0,,67.13
129,2020-08-08,-0.1998,-0.2312,414.0,505.3487,0.073,1037.571,33365.0,,67.13
130,2020-08-09,-0.2546,-0.2322,499.0,496.3229,0.073,1053.429,33011.0,,67.13
131,2020-08-10,-0.266,-0.2434,435.0,511.5623,0.071,1048.0,32635.0,,67.13
132,2020-08-11,-0.2435,-0.2487,573.0,551.151,0.07,1022.286,32367.0,,67.13
133,2020-08-12,-0.2271,-0.2546,647.0,557.73,0.068,1035.571,31980.0,,67.13
134,2020-08-13,-0.2926,-0.244,600.0,542.0072,0.067,1014.143,31663.0,,67.13
135,2020-08-14,-0.2037,-0.2317,501.0,500.4524,0.065,1016.143,31570.0,,67.13
136,2020-08-15,-0.1942,-0.2162,363.0,450.7429,0.064,1008.571,31655.0,,67.13
137,2020-08-16,-0.1842,-0.1991,398.0,422.6908,0.063,1014.571,31680.0,,67.13
138,2020-08-17,-0.2198,-0.1999,414.0,432.8388,0.063,1007.714,32163.0,,67.13
139,2020-08-18,-0.2002,-0.2125,456.0,461.9907,0.061,1029.714,32112.0,,67.13
140,2020-08-19,-0.2474,-0.2202,540.0,482.1104,0.06,911.857,31929.0,,67.13
141,2020-08-20,-0.2115,-0.2243,498.0,468.0915,0.059,921.286,31756.0,,67.13
142,2020-08-21,-0.235,-0.2378,490.0,448.0859,0.058,891.286,31102.0,,67.13
143,2020-08-22,-0.2657,-0.2409,332.0,412.4985,0.057,879.857,30882.0,,67.13
144,2020-08-23,-0.246,-0.2422,382.0,405.0093,0.057,864.429,30413.0,,67.13
145,2020-08-24,-0.2142,-0.2424,372.0,415.5373,0.056,858.143,29605.0,,67.13
146,2020-08-25,-0.2506,-0.2278,474.0,447.5492,0.056,856.857,29228.0,,67.13
147,2020-08-26,-0.1978,-0.2177,524.0,468.8943,0.056,924.714,29374.0,,67.13
148,2020-08-27,-0.2042,-0.2175,479.0,461.2084,0.056,925.714,29131.0,,67.13
149,2020-08-28,-0.2264,-0.212,479.0,432.6954,0.056,901.429,29624.0,,67.13
150,2020-08-29,-0.2177,-0.2222,331.0,393.5682,0.055,902.143,29715.0,,67.13
151,2020-08-30,-0.2404,-0.2476,349.0,381.9214,0.055,892.714,29926.0,,67.13
152,2020-08-31,-0.3165,-0.247,338.0,394.692,0.055,899.571,30061.0,,67.13
153,2020-09-01,-0.1956,-0.2342,438.0,434.5984,0.055,877.714,29816.0,,67.13
154,2020-09-02,-0.1718,-0.2251,532.0,464.9722,0.054,862.714,29474.0,,67.13
155,2020-09-03,-0.2399,-0.2078,515.0,458.673,0.054,850.286,29144.0,,67.13
156,2020-09-04,-0.2251,-0.2196,481.0,439.0536,0.053,854.143,28543.0,,67.13
157,2020-09-05,-0.2344,-0.2393,296.0,376.2835,0.052,830.143,27700.0,,67.13
