,pairs
197248,"McKinley County has the highest rate in New Mexico at 104.9 per 100,000. Chaves County followed Eddy County with 85.6 per 100,000 and Lea County had 84.8 per 100,000."
34068,"Those who fail to comply could be terminated. The percentage of U.S. adults who have received at least one covid vaccine dose stood at 68.3% on Wednesday, according to data from the Centers for Disease Control and Prevention, while 48.7% of the total population have been fully vaccinated."
366767,"The city council must recognize the historically significant role that APA has played in not only keeping Austin's no-kill status, but in international no-kill efforts as well, and renew their contract to continue operating in their current location. By doing so, the city council would be helping to maintain a safe haven for struggling and lost animals and keep the no-kill tradition alive for decades to come."
513332,"CVS: CVS Pharmacy, CVS Pharmacy y más, and Navarro Discount Pharmacy locations across Florida distribute the vaccine. Sign-up is at cvs.com/immunizations/covid-vaccine."
204296,"Most of her colleagues did not agree, rejecting her motion on a 4-3 vote. Board members Lisa Cane, Carol Cook, Bill Dudley and Eileen Long voted against the special meeting."
295783,"Cuando el país azteca registró el primer caso, el mundo comenzaba a resentir los afectos de la pandemia y en América Latina ya se había reportado un día antes un primer caso en Brasil. Los efectos de la pandemia  La economía se desplomó un 8.2 % en 2020 como en otros países de la región, aunque lejos de la caída de tan solo 3.5 % de Estados Unidos."
488367,"The funds are meant to provide emergency relief to cities and states who have been combating the covid pandemic for the last year and a half. While most of the $40 million will be allocated through a ""comprehensive recommendation,"" city officials said the health department needed these funds as soon as possible."
180153,"AgenciasDeben proteger a los menores contra el covidIstra Pacheco, EL VOCERO""Es devastador"", dijo la doctora Dena Hubbard, una pediatra de la zona de Kansas City, Missouri, que ha atendido a bebés prematuros paridos por cesárea en un intento desesperado por salvar a sus madres, algunas de las cuales han muerto. Para los trabajadores de salud, los decesos, aunados a la desinformación y el escepticismo en torno al virus, han sido algo ""desgarrador y trágico""."
367329,"""We need to continue to unpack that data. Is it the comorbidities driving that mortality, not just age alone?"""
400885,"Though $11 million from the CARES Act assisted in improving the hospital's finances, higher-than-anticipated revenues in certain departments have officials optimistic about UTMC's financial sustainability moving forward. This is absolutely great news, UT board trustee Mary Ellen Pisanelli said following a financial presentation of the former Medical College of Ohio hospital at a virtual board of trustees meeting Wednesday."
165398,"As the delta variant of the novel covid spreads across Indiana and elsewhere, health officials are doubling down on the all-too familiar call to action: ""Get vaccinated,"" said Shandy Dearth, director of undergraduate epidemiology education at IUPUI's Richard M. Fairbanks School of Public Health. But despite the delta variant — a more contagious strain of covid that Dearth said has spread across the country ""like wildfire"" — and maybe even because of it, not all Americans are on board with that message."
51145,"Janesville's Rock Haven nursing home will not require its employees to be vaccinated after the Rock County Board, facing threats of lawsuits, voted to discontinue the mandate late Thursday. Officials at Rock Haven, a Rock County-owned facility, issued a memo in December telling employees that the covid vaccine was ""a requirement for all staff"" and that employees who failed to get the vaccine would be laid off."
345991,The different eligibility in neighboring states has offered a separate round of confusion over who can get vaccines and where. And it comes after the states pledged early on to have a regional approach to fighting the virus.
169535,"New Mexico's indoor mask mandate has been extended for another month as average daily cases remained at a plateau after this summer's spike, driven by the highly infectious delta variant. Gov."
116388,"Ron DeSantis after six women were found to have developed rare blood clots. The Centers for Disease Control and Prevention are expected to issue new guidelines on the vaccine's use later this week, and experts note that very few of the 6.8 million people who received the vaccine experienced the side effect."
538122,"At least one security guard and at least one other nurse can be seen behind the nurse, who was recording herself. ""I am willing to lose my safety and security, my house, everything, for my freedom, and I want you to think about that,"" she added."
49755,"""Throughout the pandemic, Drury's small size has provided an opportunity to get our arms around the situation and manage the logistics of health and safety while providing a fully in-person college experience for our students,"" said Drury President Tim Cloyd. ""Our students, faculty and staff have stepped up to support one another and keep each other safe all year long, so I'm not surprised to see such a great response to vaccinations so far."""
388663,"He also noted the city would look into why no Spanish translators were working at the Fort Washington Armory in Washington Heights, which has boasted a sizable Dominican-American population for decades. The story about the lack of translators at the armory was first reported by The City."
390772,"Perhaps the most successful example is smallpox, a contagious and disfiguring disease that once killed one-third of those who became infected. Another great example is polio, which was once one of the most-feared illnesses in the U.S."
269400,"Some Minnesota health systems, including HealthPartners and Essentia Health, have reached out to some of their elderly patients, offering them the vaccine now that many of their front-line health care workers have been inoculated. But it does raise questions about the distribution system for Minnesota's seniors, given that some have to wait while others do not."
35960,"Of the 46 Hendrick covid inpatients, 36 were not fully vaccinated. The percentage of covid inpatients in the 16-county Abilene trauma service area was 5.82% of total capacity Monday, compared to 6.50% Sunday and 6.59% Saturday, according to the Texas Department of State Health Services covid database."
364563,"""Earlier in the pandemic, our concern was about beds, about space,"" he said in a Friday morning news conference. ""Today, it is about personnel."""
132442,"Today, the latest on Build Back Better, plus the case of Elizabeth Holmes and more. Here are some of the top headlines."
453332,The Biden administration recently announced that it would back a proposal by South Africa and India at the World Trade Organization to nullify American innovators' intellectual property rights for covid vaccines. This is an unprecedented move - and a dangerous one.
85557,"""This is America. It is a free choice."
