Sentence,Label
"Countys milestone comes after it hit 4,000 deaths in March.",0
"Riverside Countys coronavirus death toll surpassed 5,000 on Friday , Oct,  1 , a somber milestone that far exceeds what public health officials envisioned as a nightmare scenario at the pandemics onset.",0
"Numbers posted on the countys coronavirus website Friday show that 5,004 county residents have died of COVID-19",0
"Our county team continues to work diligently to slow the spread for all to do their part to protect themselves and those in their homes , in their businesses and in our community.",1
"Orange County , which has about 700,000 more people than Riverside County , reported its 5,000th death May 7 , though it still has 50,000 fewer cases than Riverside County, San Diego County.",1
"Nationwide , the United States is approaching 700,000 deaths from the virus.",0
"Most projected that COVID-19 cases would continue to grow through February, or at least plateau.",0
"Since COVID-19 vaccines became widely available earlier this year , the vast majority of deaths have been among the unvaccinated.",0
"Instead, COVID-19 is in retreat in America. New daily cases have plunged, and hospitalizations are down almost 50 percent in the past month.",1
 Officials are urging those eligible to get vaccinated against the virus.,1
"About 58% of county residents 12 and older are fully vaccinated , according to Riverside University Health System -- Public Health",1
"Taking a course of a particular antiviral pill over five days , shortly after COVID-19 diagnosis , may slash the risk of being hospitalized or dying of the virus by 50%",1
it would be the first antiviral pill people can take at home to reduce their risk of winding up in the hospital from the coronavirus,1
We are in a new wave of rising positivity in Covid-19 cases.,0
"The upticks have prompted state leaders to push new measures, like mask enforcements and gathering limits, in hopes of curbing the spread.",0
"US Surgeon General Dr. Jerome Adams addressed a surge of new cases and hospitalizations in Wisconsin and said the state's test-positivity rates are ""going in the wrong direction.""
",0
It is critical that we actually understand where this virus is circulating so that we could get cases under control and reverse the positivity rate.,1
Minnesota outbreak tied to Trump rally.,0
"In an open letter published Friday by Pfizer Chairman and CEO Albert Bourla, the company said it plans to apply for emergency use authorization for its Covid-19 vaccine as early as November.",1
"Assuming positive data, Pfizer will apply for Emergency Authorization Use in the US soon after the safety milestone is achieved in the third week of November ",1
"But first, Bourla wrote, the vaccine should prove to be safe and effective in preventing the disease. ",1
"Once a vaccine is approved in the US, CVS and Walgreens pharmacies have been designated to help distribute free vaccines to long-term care facilities, federal officials confirmed.",1
"The country recently has averaged about 700 Covid-19 deaths a day, below the daily tolls above 1,000 from late July to mid-August.",1
"But now, the country is averaging more than 55,000 new cases daily over the past week -- up more than 60% since mid-September's dip.",0
"When we saw this kind of transmission earlier in the pandemic, in March and April, the virus hadn't seeded everywhere .This surge has the potential to be way worse than it was than either the spring or the summer.",0
"As for the entire country, cases are swinging up after a summer surge waned ",0
"But extenuating factors - such as a high number of COVID-19 cases, lack of coronavirus testing supplies, or a student or faculty death - could force the university to close all classroom doors as it did in March when the pandemic arrived in Texas.",0
"I feel like within three weeks of the semester starting, they're going to make, if not all classes online, a significant number of classes online. ",0
"We know how quickly it spreads. We know the preventive measures that have been shown to be effective, and I think that where we are as a community ... is really understanding how to go about our work and our business and our lives while trying to maintain the safest possible environment. ",1
"By limiting in-person activity, requiring face masks on campus and preparing to test up to 5,000 people a week, officials hope the university can continue to function, at least partially, in-person.",1
There's not a place in the country where the virus is under control. ,0
"Some universities will do better than others, Schneider said, adding that smaller campuses might be better equipped to handle the pandemic than large ones.",1
UT epidemiologists project between 82 and 183 students could arrive on campus infected with the coronavirus,0
UT epidemiologists project between 1000 and 10000 students could arrive on campus safe from the coronavirus,1
"UT could increase cleaning or social distancing measures, temporarily suspend classes, reduce occupancy in buildings or close residence halls in response, though Markman said the university could keep residence halls open if classes move all online. ",0
"A more contagious version of the coronavirus may alter the course of the pandemic in the United States, researchers said.",0
"A contagious variant of the coronavirus spreading through Britain has left that nation grappling with new lockdowns, curtailed air travel and a surge in infections. ",0
"Now it has appeared in Colorado and California, threatening to complicate what had seemed a hopeful, if halting, path to recovery from the pandemic. ",0
"'The overall picture is pretty grim,'' said Bill Hanage, an epidemiologist at the Harvard T.H. Chan School of Public Health.",0
"The variant's arrival also makes it all the more imperative that Americans receive vaccinations in great numbers, and more quickly, scientists said. ",0
"A pathogen that spreads easily is more difficult to contain, and a greater percentage of the population must be inoculated to turn back the pandemic. ",0
"Yet even as the variant surfaced, officials with the Trump administration acknowledged on Wednesday that the vaccine rollout was going too slowly. ",0
"Just 2.1 million people had received their first dose as of Monday morning, far short of the 20 million goal.",0
"  ''We agree that that number is lower than what we hoped for,'' said Moncef Slaoui, scientific adviser to Operation Warp Speed, the federal effort to accelerate vaccine development and distribution.",0
"The federal government has enrolled 40,000 pharmacy locations in that program designed to accelerate vaccine distribution, Mr. Slaoui and other officials said.",1
"The variant, called B.1.1.7, is not thought to be more deadly than other versions of the virus, nor does it seem to cause more severe illness.",1
Current vaccines are likely to be effective against it and any others that may emerge in the short term. ,1
"But given the mutant's apparent contagiousness, scientists fear that its toehold in the United States augurs another difficult chapter in the pandemic. ",0
"Officials in San Diego County later identified the patient as a 30-year-old-man who had not traveled outside the United States, suggesting the virus was transmitted by someone else in the community -- a sign that the new version  is already spreading.",0
"That's because a variant that infects more people will reach more who are vulnerable or frail, leading to more illness and fatalities even if the virus itself is not more deadly.",0
"The number of people hospitalized for Covid-19 daily has been rising relentlessly since October, totaling nearly 125,000 on Wednesday.",0
"''In places like the U.S. and the U.K., where the health care system is already at its breaking point, a huge surge of new cases on top of the exponential spread we're already seeing is going to be really, really bad,'' said Angela Rasmussen, a virologist affiliated with Georgetown University in Washington. ",0
"''Not only is that going to potentially increase the number of Covid deaths, but it's also probably going to increase the number of deaths from other causes as well ",0
"People infected with the variant may need different care than earlier coronavirus patients, further burdening the health care system, experts said.",0
"''We're still learning how these variants might respond to drugs and other Covid-19 treatments, including monoclonal antibodies and convalescent plasma,'' Dr. Henry Walke, the C.D.C.'s incident manager for Covid response",1
The news ramps up the urgency to get Americans vaccinated because it raises the threshold for so-called herd immunity -- the percentage of people who must be inoculated to contain the threat. ,1
